geoid,county,state,variable,population,moe
37039,Cherokee, North Carolina,B01003_001,28413,NA
37089,Henderson, North Carolina,B01003_001,116298,NA
37171,Surry, North Carolina,B01003_001,71904,NA
37131,Northampton, North Carolina,B01003_001,19672,NA
37177,Tyrrell, North Carolina,B01003_001,3978,NA
37043,Clay, North Carolina,B01003_001,11150,NA
37075,Graham, North Carolina,B01003_001,8501,NA
37031,Carteret, North Carolina,B01003_001,69301,NA
37007,Anson, North Carolina,B01003_001,24430,NA
37183,Wake, North Carolina,B01003_001,1091662,48
37083,Halifax, North Carolina,B01003_001,50678,NA
37125,Moore, North Carolina,B01003_001,99263,NA
37065,Edgecombe, North Carolina,B01003_001,52069,NA
37107,Lenoir, North Carolina,B01003_001,56350,NA
37193,Wilkes, North Carolina,B01003_001,68341,48
37069,Franklin, North Carolina,B01003_001,68027,NA
37117,Martin, North Carolina,B01003_001,22644,NA
37137,Pamlico, North Carolina,B01003_001,12673,NA
37149,Polk, North Carolina,B01003_001,20682,NA
37175,Transylvania, North Carolina,B01003_001,34039,NA
37143,Perquimans, North Carolina,B01003_001,13513,NA
37047,Columbus, North Carolina,B01003_001,55659,NA
37161,Rutherford, North Carolina,B01003_001,66741,NA
37155,Robeson, North Carolina,B01003_001,131656,NA
37133,Onslow, North Carolina,B01003_001,198377,NA
37113,Macon, North Carolina,B01003_001,35172,NA
37091,Hertford, North Carolina,B01003_001,23752,NA
37127,Nash, North Carolina,B01003_001,94287,NA
37101,Johnston, North Carolina,B01003_001,203308,NA
37111,McDowell, North Carolina,B01003_001,45402,NA
37021,Buncombe, North Carolina,B01003_001,259576,NA
37153,Richmond, North Carolina,B01003_001,44759,NA
37027,Caldwell, North Carolina,B01003_001,82056,NA
37067,Forsyth, North Carolina,B01003_001,378499,NA
37093,Hoke, North Carolina,B01003_001,54590,NA
37085,Harnett, North Carolina,B01003_001,134328,48
37087,Haywood, North Carolina,B01003_001,61862,NA
37123,Montgomery, North Carolina,B01003_001,27223,NA
37103,Jones, North Carolina,B01003_001,9453,NA
37167,Stanly, North Carolina,B01003_001,62050,NA
37079,Greene, North Carolina,B01003_001,20987,NA
37017,Bladen, North Carolina,B01003_001,33209,NA
37013,Beaufort, North Carolina,B01003_001,47160,NA
37053,Currituck, North Carolina,B01003_001,27210,NA
37041,Chowan, North Carolina,B01003_001,13995,NA
37019,Brunswick, North Carolina,B01003_001,137303,NA
37009,Ashe, North Carolina,B01003_001,27009,48
37141,Pender, North Carolina,B01003_001,61891,NA
37051,Cumberland, North Carolina,B01003_001,334562,NA
37163,Sampson, North Carolina,B01003_001,63284,NA
37023,Burke, North Carolina,B01003_001,90148,NA
37035,Catawba, North Carolina,B01003_001,158507,NA
37037,Chatham, North Carolina,B01003_001,72853,NA
37099,Jackson, North Carolina,B01003_001,43435,NA
37055,Dare, North Carolina,B01003_001,36698,NA
37179,Union, North Carolina,B01003_001,235767,NA
37095,Hyde, North Carolina,B01003_001,5089,NA
37029,Camden, North Carolina,B01003_001,10654,NA
37199,Yancey, North Carolina,B01003_001,17870,NA
37165,Scotland, North Carolina,B01003_001,34921,NA
37139,Pasquotank, North Carolina,B01003_001,39775,NA
37061,Duplin, North Carolina,B01003_001,58965,NA
37173,Swain, North Carolina,B01003_001,14241,NA
37129,New Hanover, North Carolina,B01003_001,231448,NA
37115,Madison, North Carolina,B01003_001,21608,NA
37159,Rowan, North Carolina,B01003_001,140978,NA
37049,Craven, North Carolina,B01003_001,102290,NA
37119,Mecklenburg, North Carolina,B01003_001,1095170,NA
37071,Gaston, North Carolina,B01003_001,222119,NA
37005,Alleghany, North Carolina,B01003_001,11085,NA
37169,Stokes, North Carolina,B01003_001,45688,NA
37033,Caswell, North Carolina,B01003_001,22619,NA
37003,Alexander, North Carolina,B01003_001,37271,NA
37121,Mitchell, North Carolina,B01003_001,14959,NA
37077,Granville, North Carolina,B01003_001,59823,NA
37185,Warren, North Carolina,B01003_001,19746,NA
37045,Cleveland, North Carolina,B01003_001,97765,NA
37059,Davie, North Carolina,B01003_001,42543,NA
37147,Pitt, North Carolina,B01003_001,179961,NA
37195,Wilson, North Carolina,B01003_001,81579,NA
37057,Davidson, North Carolina,B01003_001,166837,NA
37135,Orange, North Carolina,B01003_001,146354,NA
37105,Lee, North Carolina,B01003_001,61083,NA
37073,Gates, North Carolina,B01003_001,11519,NA
37157,Rockingham, North Carolina,B01003_001,91051,NA
37145,Person, North Carolina,B01003_001,39561,NA
37151,Randolph, North Carolina,B01003_001,143460,NA
37181,Vance, North Carolina,B01003_001,44614,NA
37187,Washington, North Carolina,B01003_001,11788,NA
37011,Avery, North Carolina,B01003_001,17510,NA
37081,Guilford, North Carolina,B01003_001,532956,NA
37109,Lincoln, North Carolina,B01003_001,84580,NA
37025,Cabarrus, North Carolina,B01003_001,211605,NA
37191,Wayne, North Carolina,B01003_001,123785,NA
37189,Watauga, North Carolina,B01003_001,55669,NA
37097,Iredell, North Carolina,B01003_001,178853,NA
37001,Alamance, North Carolina,B01003_001,166144,NA
37015,Bertie, North Carolina,B01003_001,19081,NA
37063,Durham, North Carolina,B01003_001,317665,NA
37197,Yadkin, North Carolina,B01003_001,37589,NA
